user,exercise,reps,sets
User_32,Deadlifts,11,4
User_32,Bench Press,5,5
User_33,Plank,5,5
User_33,Deadlifts,12,3
User_33,Tricep Dips,10,2
User_33,Leg Press,14,5
User_33,Bicep Curls,13,5
User_34,Push-Ups,11,4
User_34,Deadlifts,13,3
User_34,Bench Press,11,4
User_34,Plank,15,3
User_34,Deadlifts,11,4
User_35,Squats,11,4
User_35,Tricep Dips,14,3
User_35,Squats,8,3
User_35,Bench Press,6,3
User_35,Bicep Curls,7,5
User_36,Leg Press,6,3
User_36,Lunges,5,2
User_36,Shoulder Press,12,5
User_36,Lunges,11,5
User_36,Tricep Dips,14,3
User_37,Lunges,5,3
User_37,Bicep Curls,10,2
User_37,Plank,13,4
User_37,Lunges,14,4
User_37,Shoulder Press,9,5
User_38,Shoulder Press,5,5
User_38,Lunges,7,3
User_38,Leg Press,6,3
User_38,Push-Ups,14,2
User_38,Squats,5,3
User_39,Lunges,15,5
User_39,Plank,13,5
User_39,Squats,8,4
User_39,Deadlifts,15,4
User_39,Shoulder Press,11,3
User_40,Lunges,15,5
User_40,Bicep Curls,5,5
User_40,Bench Press,10,2
User_40,Deadlifts,12,4
User_40,Plank,12,5
User_41,Bicep Curls,12,2
User_41,Deadlifts,13,3
User_41,Bicep Curls,10,2
User_41,Leg Press,8,4
User_41,Bicep Curls,11,2
User_42,Lunges,10,2
User_42,Bicep Curls,15,5
User_42,Squats,8,4
User_42,Deadlifts,11,5
User_42,Shoulder Press,14,4
User_43,Deadlifts,14,4
User_43,Squats,6,3
User_43,Lunges,12,2
User_43,Tricep Dips,9,5
User_43,Bicep Curls,15,5
User_44,Deadlifts,5,5
User_44,Push-Ups,14,2
User_44,Shoulder Press,14,3
User_44,Bicep Curls,7,2
User_44,Leg Press,12,2
User_45,Lunges,12,3
User_45,Deadlifts,11,2
User_45,Tricep Dips,7,3
User_45,Lunges,14,5
User_45,Shoulder Press,8,5
User_46,Deadlifts,5,4
User_46,Squats,11,2
User_46,Bench Press,10,5
User_46,Bench Press,6,2
User_46,Plank,9,2
User_47,Leg Press,7,3
User_47,Bicep Curls,5,5
User_47,Tricep Dips,7,4
User_47,Leg Press,13,4
User_47,Tricep Dips,8,3
User_48,Bench Press,10,2
User_48,Push-Ups,5,5
User_48,Bench Press,7,4
User_48,Plank,9,2
User_48,Tricep Dips,7,5
User_49,Push-Ups,5,3
User_49,Bench Press,15,5
User_49,Lunges,10,3
User_49,Leg Press,6,4
User_49,Plank,7,4
User_50,Leg Press,10,4
User_50,Deadlifts,8,3
User_50,Bicep Curls,10,5
User_50,Squats,10,5
User_50,Bench Press,9,4
User_51,Push-Ups,8,4
User_51,Bench Press,11,3
User_51,Leg Press,13,3
User_51,Bicep Curls,8,2
User_51,Leg Press,6,3
User_52,Lunges,10,2
User_52,Lunges,6,3
User_52,Bench Press,5,2
User_52,Bench Press,12,2
User_52,Push-Ups,15,3
User_53,Plank,8,5
User_53,Bicep Curls,10,4
User_53,Bench Press,6,4
User_53,Tricep Dips,6,5
User_53,Push-Ups,15,2
User_54,Plank,12,5
User_54,Bench Press,14,5
User_54,Shoulder Press,6,5
User_54,Leg Press,10,4
User_54,Tricep Dips,10,3
User_55,Bench Press,5,2
User_55,Bicep Curls,7,4
User_55,Lunges,6,3
User_55,Squats,12,4
User_55,Squats,10,3
User_56,Shoulder Press,13,2
User_56,Leg Press,13,2
User_56,Shoulder Press,12,3
User_56,Bicep Curls,8,2
User_56,Bench Press,11,5
User_57,Bicep Curls,5,4
User_57,Deadlifts,7,4
User_57,Bicep Curls,10,4
User_57,Push-Ups,15,4
User_57,Tricep Dips,5,2
User_58,Tricep Dips,12,3
User_58,Push-Ups,7,2
User_58,Push-Ups,8,2
User_58,Lunges,10,3
User_58,Shoulder Press,6,5
User_59,Bench Press,7,2
User_59,Tricep Dips,8,4
User_59,Squats,9,2
User_59,Leg Press,14,2
User_59,Leg Press,11,3
User_60,Lunges,14,3
User_60,Push-Ups,13,3
User_60,Plank,15,4
User_60,Deadlifts,11,5
User_60,Bicep Curls,14,3
User_61,Squats,9,4
User_61,Push-Ups,7,4
User_61,Push-Ups,14,3
User_61,Bicep Curls,9,5
User_61,Push-Ups,12,3
User_62,Push-Ups,14,2
User_62,Tricep Dips,12,4
User_62,Deadlifts,11,4
User_62,Deadlifts,8,4
User_62,Plank,6,3
User_63,Bench Press,14,2
User_63,Push-Ups,14,4
User_63,Push-Ups,14,5
User_63,Lunges,11,2
User_63,Tricep Dips,10,4
User_64,Bicep Curls,6,4
User_64,Leg Press,10,4
User_64,Leg Press,5,4
User_64,Lunges,7,2
User_64,Leg Press,13,5
User_65,Squats,5,2
User_65,Leg Press,10,2
User_65,Shoulder Press,14,2
User_65,Shoulder Press,10,4
User_65,Tricep Dips,15,4
User_66,Squats,7,4
User_66,Bench Press,5,3
User_66,Tricep Dips,14,4
User_66,Leg Press,10,5
User_66,Lunges,15,4
User_67,Deadlifts,13,5
User_67,Push-Ups,9,4
User_67,Shoulder Press,13,5
User_67,Lunges,12,5
User_67,Bench Press,10,3
User_68,Lunges,7,3
User_68,Bicep Curls,7,2
User_68,Leg Press,11,5
User_68,Bicep Curls,9,2
User_68,Squats,10,5
User_69,Leg Press,7,5
User_69,Shoulder Press,13,3
User_69,Deadlifts,8,3
User_69,Bench Press,13,3
User_69,Shoulder Press,12,5
User_70,Deadlifts,12,2
User_70,Tricep Dips,14,3
User_70,Shoulder Press,7,2
User_70,Bicep Curls,9,2
User_70,Squats,14,4
User_71,Plank,6,3
User_71,Lunges,14,2
User_71,Shoulder Press,8,3
User_71,Plank,9,4
User_71,Lunges,11,3
User_72,Push-Ups,12,4
User_72,Tricep Dips,11,2
User_72,Lunges,12,2
User_72,Lunges,7,5
User_72,Tricep Dips,8,2
User_73,Plank,15,3
User_73,Leg Press,11,4
User_73,Bicep Curls,14,2
User_73,Bench Press,9,3
User_73,Bicep Curls,10,4
User_74,Squats,6,2
User_74,Plank,7,5
User_74,Plank,12,4
User_74,Deadlifts,10,3
User_74,Deadlifts,10,2
User_75,Shoulder Press,14,4
User_75,Lunges,12,3
User_75,Push-Ups,15,4
User_75,Bench Press,13,5
User_75,Leg Press,13,2
User_76,Plank,13,3
User_76,Squats,5,2
User_76,Lunges,6,2
User_76,Bicep Curls,7,5
User_76,Lunges,10,5
User_77,Squats,8,4
User_77,Push-Ups,5,4
User_77,Lunges,5,2
User_77,Plank,9,5
User_77,Deadlifts,11,3
User_78,Shoulder Press,10,4
User_78,Deadlifts,10,3
User_78,Lunges,5,4
User_78,Deadlifts,12,4
User_78,Leg Press,13,3
User_79,Squats,5,4
User_79,Bench Press,14,2
User_79,Lunges,6,3
User_79,Squats,13,3
User_79,Bench Press,10,4
User_80,Tricep Dips,12,3
User_80,Plank,10,2
User_80,Shoulder Press,14,5
User_80,Push-Ups,11,5
User_80,Plank,8,5
User_81,Lunges,6,2
User_81,Squats,14,2
User_81,Tricep Dips,11,4
User_81,Push-Ups,12,5
User_81,Shoulder Press,9,5
User_82,Leg Press,6,3
User_82,Deadlifts,5,3
User_82,Squats,7,2
User_82,Plank,9,4
User_82,Bicep Curls,11,4
User_83,Lunges,10,5
User_83,Squats,8,3
User_83,Bicep Curls,9,3
User_83,Bicep Curls,10,3
User_83,Lunges,7,2
User_84,Shoulder Press,5,2
User_84,Bench Press,10,5
User_84,Deadlifts,14,2
User_84,Bicep Curls,14,3
User_84,Squats,10,3
User_85,Squats,8,5
User_85,Push-Ups,8,5
User_85,Deadlifts,12,2
User_85,Shoulder Press,6,2
User_85,Push-Ups,6,3
User_86,Tricep Dips,13,2
User_86,Tricep Dips,14,4
User_86,Deadlifts,9,4
User_86,Push-Ups,6,3
User_86,Leg Press,13,5
User_87,Tricep Dips,7,2
User_87,Deadlifts,9,2
User_87,Shoulder Press,12,5
User_87,Lunges,13,4
User_87,Leg Press,14,3
User_88,Squats,10,5
User_88,Plank,12,2
User_88,Shoulder Press,15,4
User_88,Squats,10,4
User_88,Plank,10,5
User_89,Tricep Dips,11,3
User_89,Tricep Dips,13,3
User_89,Bench Press,12,2
User_89,Deadlifts,15,5
User_89,Plank,8,2
User_90,Bench Press,13,5
User_90,Squats,8,3
User_90,Shoulder Press,13,4
User_90,Push-Ups,10,4
User_90,Shoulder Press,5,4
User_91,Bicep Curls,6,3
User_91,Lunges,6,3
User_91,Tricep Dips,5,3
User_91,Push-Ups,8,5
User_91,Leg Press,5,5
User_92,Deadlifts,15,5
User_92,Plank,15,3
User_92,Bicep Curls,12,3
User_92,Tricep Dips,5,2
User_92,Plank,10,2
User_93,Bench Press,7,3
User_93,Squats,15,3
User_93,Shoulder Press,12,2
User_93,Leg Press,15,4
User_93,Squats,12,3
User_94,Push-Ups,7,4
User_94,Leg Press,15,4
User_94,Lunges,13,5
User_94,Leg Press,7,5
User_94,Deadlifts,6,4
User_95,Squats,8,2
User_95,Deadlifts,14,4
User_95,Push-Ups,10,3
User_95,Tricep Dips,15,4
User_95,Plank,12,3
User_96,Plank,9,3
User_96,Bench Press,6,3
User_96,Leg Press,8,2
User_96,Bench Press,9,4
User_96,Lunges,8,3
User_97,Bench Press,13,4
User_97,Tricep Dips,15,4
User_97,Leg Press,12,2
User_97,Bench Press,12,5
User_97,Squats,10,5
User_98,Shoulder Press,11,5
User_98,Leg Press,5,5
User_98,Squats,6,2
User_98,Shoulder Press,11,5
User_98,Leg Press,15,5
User_99,Deadlifts,15,5
User_99,Bicep Curls,12,5
User_99,Push-Ups,11,5
User_99,Push-Ups,8,3
User_99,Bicep Curls,13,5
User_100,Plank,11,2
User_100,Tricep Dips,14,5
User_100,Deadlifts,7,3
User_100,Bench Press,14,4
User_100,Push-Ups,8,3
User_101,Plank,11,4
User_101,Squats,13,2
User_101,Plank,5,3
User_101,Lunges,5,5
User_101,Push-Ups,7,4
User_102,Squats,14,2
User_102,Leg Press,13,5
User_102,Lunges,8,2
User_102,Push-Ups,11,5
User_102,Squats,14,3
User_103,Squats,6,5
User_103,Bicep Curls,6,4
User_103,Lunges,10,5
User_103,Lunges,6,3
User_103,Lunges,5,5
User_104,Push-Ups,5,2
User_104,Bench Press,6,2
User_104,Squats,6,5
User_104,Lunges,9,4
User_104,Leg Press,14,3
User_105,Plank,13,5
User_105,Lunges,8,4
User_105,Plank,8,3
User_105,Push-Ups,13,3
User_105,Push-Ups,12,3
User_106,Deadlifts,12,5
User_106,Lunges,12,5
User_106,Lunges,12,5
User_106,Squats,11,5
User_106,Leg Press,12,5
User_107,Shoulder Press,10,5
User_107,Tricep Dips,9,3
User_107,Push-Ups,10,3
User_107,Bicep Curls,5,2
User_107,Push-Ups,15,4
User_108,Shoulder Press,5,2
User_108,Lunges,6,4
User_108,Shoulder Press,7,4
User_108,Tricep Dips,7,5
User_108,Lunges,12,2
User_109,Push-Ups,5,2
User_109,Plank,11,4
User_109,Plank,13,5
User_109,Tricep Dips,10,5
User_109,Bench Press,13,2
User_110,Leg Press,8,4
User_110,Deadlifts,8,3
User_110,Bicep Curls,5,4
User_110,Plank,5,4
User_110,Squats,13,3
User_111,Deadlifts,10,4
User_111,Bicep Curls,5,2
User_111,Bicep Curls,15,3
User_111,Deadlifts,15,5
User_111,Leg Press,6,2
User_112,Bench Press,14,5
User_112,Deadlifts,12,2
User_112,Tricep Dips,7,2
User_112,Deadlifts,12,4
User_112,Push-Ups,15,4
User_113,Deadlifts,5,3
User_113,Shoulder Press,9,5
User_113,Leg Press,6,2
User_113,Push-Ups,13,5
User_113,Bicep Curls,10,3
User_114,Squats,5,2
User_114,Lunges,10,3
User_114,Push-Ups,8,5
User_114,Tricep Dips,15,3
User_114,Plank,5,4
User_115,Bicep Curls,14,3
User_115,Push-Ups,5,4
User_115,Shoulder Press,13,5
User_115,Plank,15,4
User_115,Push-Ups,9,5
User_116,Lunges,11,5
User_116,Shoulder Press,15,4
User_116,Bench Press,6,3
User_116,Leg Press,12,3
User_116,Tricep Dips,7,2
User_117,Bench Press,12,2
User_117,Plank,8,5
User_117,Tricep Dips,8,5
User_117,Tricep Dips,11,4
User_117,Bicep Curls,9,4
User_118,Push-Ups,7,5
User_118,Tricep Dips,9,3
User_118,Push-Ups,14,5
User_118,Leg Press,13,5
User_118,Bench Press,14,4
User_119,Push-Ups,8,4
User_119,Squats,12,5
User_119,Shoulder Press,8,2
User_119,Deadlifts,13,2
User_119,Deadlifts,9,2
User_120,Push-Ups,11,5
User_120,Bicep Curls,12,4
User_120,Lunges,14,4
User_120,Plank,9,5
User_120,Squats,13,5
User_121,Squats,14,2
User_121,Plank,14,4
User_121,Bicep Curls,7,4
User_121,Deadlifts,15,4
User_121,Leg Press,12,2
User_122,Shoulder Press,6,2
User_122,Leg Press,11,4
User_122,Bench Press,13,3
User_122,Plank,14,5
User_122,Deadlifts,9,3
User_123,Leg Press,10,5
User_123,Lunges,8,2
User_123,Leg Press,12,4
User_123,Bench Press,14,2
User_123,Shoulder Press,15,4
User_124,Bench Press,6,2
User_124,Deadlifts,15,2
User_124,Shoulder Press,10,5
User_124,Squats,11,3
User_124,Plank,5,4
User_125,Deadlifts,12,5
User_125,Bicep Curls,6,3
User_125,Lunges,5,4
User_125,Shoulder Press,9,3
User_125,Squats,10,5
User_126,Tricep Dips,14,4
User_126,Bench Press,6,4
User_126,Plank,14,5
User_126,Squats,12,5
User_126,Shoulder Press,11,5
User_127,Leg Press,12,4
User_127,Push-Ups,13,3
User_127,Squats,12,4
User_127,Tricep Dips,12,2
User_127,Deadlifts,10,4
User_128,Squats,9,2
User_128,Squats,6,3
User_128,Bench Press,15,3
User_128,Push-Ups,8,4
User_128,Push-Ups,6,5
User_129,Plank,8,5
User_129,Squats,14,3
User_129,Bicep Curls,15,2
User_129,Lunges,13,3
User_129,Plank,8,2
User_130,Push-Ups,8,3
User_130,Plank,14,2
User_130,Lunges,5,3
User_130,Squats,6,4
User_130,Leg Press,11,5
User_131,Bicep Curls,5,2
User_131,Deadlifts,9,3
User_131,Bicep Curls,13,4
User_131,Leg Press,8,4
User_131,Bicep Curls,5,5
User_132,Tricep Dips,8,5
User_132,Shoulder Press,14,3
User_132,Shoulder Press,5,2
User_132,Push-Ups,12,4
User_132,Lunges,7,4
User_133,Bicep Curls,12,5
User_133,Squats,5,2
User_133,Lunges,9,2
User_133,Squats,9,4
User_133,Push-Ups,12,2
User_134,Push-Ups,6,4
User_134,Squats,11,3
User_134,Bench Press,5,5
User_134,Bench Press,5,2
User_134,Shoulder Press,5,4
User_135,Bicep Curls,8,3
User_135,Bench Press,6,4
User_135,Bench Press,13,2
User_135,Deadlifts,6,3
User_135,Tricep Dips,15,5
User_136,Push-Ups,6,2
User_136,Deadlifts,8,4
User_136,Lunges,12,4
User_136,Bicep Curls,14,4
User_136,Plank,9,3
User_137,Bench Press,13,4
User_137,Bench Press,12,2
User_137,Squats,6,5
User_137,Shoulder Press,13,5
User_137,Squats,11,3
User_138,Shoulder Press,14,5
User_138,Leg Press,11,2
User_138,Squats,13,4
User_138,Tricep Dips,15,2
User_138,Squats,13,3
User_139,Push-Ups,9,2
User_139,Tricep Dips,6,4
User_139,Squats,9,2
User_139,Deadlifts,6,2
User_139,Bicep Curls,11,5
User_140,Deadlifts,11,4
User_140,Push-Ups,8,4
User_140,Shoulder Press,7,5
User_140,Lunges,12,3
User_140,Bicep Curls,12,4
User_141,Squats,15,2
User_141,Shoulder Press,5,2
User_141,Bench Press,13,2
User_141,Tricep Dips,15,2
User_141,Bench Press,9,5
User_142,Squats,13,2
User_142,Tricep Dips,14,2
User_142,Push-Ups,7,4
User_142,Lunges,8,3
User_142,Bench Press,9,3
User_143,Plank,8,2
User_143,Shoulder Press,11,4
User_143,Push-Ups,13,5
User_143,Tricep Dips,11,3
User_143,Squats,8,3
User_144,Deadlifts,11,5
User_144,Lunges,14,3
User_144,Push-Ups,12,5
User_144,Lunges,5,3
User_144,Bench Press,9,5
User_145,Leg Press,13,5
User_145,Push-Ups,14,2
User_145,Plank,14,5
User_145,Push-Ups,7,4
User_145,Plank,11,3
User_146,Deadlifts,14,2
User_146,Shoulder Press,6,2
User_146,Push-Ups,9,2
User_146,Squats,14,2
User_146,Push-Ups,5,4
User_147,Bench Press,14,5
User_147,Deadlifts,14,3
User_147,Lunges,14,4
User_147,Shoulder Press,15,4
User_147,Squats,6,4
User_148,Bicep Curls,9,2
User_148,Deadlifts,15,2
User_148,Plank,12,2
User_148,Plank,8,4
User_148,Bench Press,13,4
User_149,Leg Press,8,4
User_149,Lunges,8,5
User_149,Shoulder Press,14,3
User_149,Shoulder Press,9,2
User_149,Shoulder Press,6,5
User_150,Push-Ups,5,3
User_150,Tricep Dips,6,5
User_150,Bench Press,11,4
User_150,Bicep Curls,13,3
User_150,Deadlifts,6,4
User_151,Push-Ups,8,4
User_151,Squats,13,4
User_151,Tricep Dips,8,2
User_151,Plank,7,4
User_151,Shoulder Press,8,4
User_152,Bench Press,14,4
User_152,Plank,13,3
User_152,Plank,7,3
User_152,Push-Ups,15,2
User_152,Bicep Curls,13,2
User_153,Deadlifts,9,2
User_153,Bench Press,9,5
User_153,Lunges,13,3
User_153,Tricep Dips,14,2
User_153,Lunges,7,4
User_154,Squats,10,3
User_154,Leg Press,12,4
User_154,Push-Ups,13,2
User_154,Shoulder Press,9,2
User_154,Shoulder Press,15,5
User_155,Push-Ups,13,2
User_155,Push-Ups,14,3
User_155,Plank,13,2
User_155,Leg Press,7,2
User_155,Bench Press,14,5
User_156,Squats,13,3
User_156,Shoulder Press,13,2
User_156,Squats,8,2
User_156,Tricep Dips,15,4
User_156,Lunges,7,3
User_157,Bench Press,13,3
User_157,Shoulder Press,5,2
User_157,Squats,9,4
User_157,Push-Ups,7,3
User_157,Lunges,14,5
User_158,Bench Press,12,4
User_158,Leg Press,13,3
User_158,Lunges,15,5
User_158,Lunges,12,2
User_158,Squats,8,2
User_159,Bench Press,15,3
User_159,Shoulder Press,13,2
User_159,Lunges,5,5
User_159,Bench Press,8,5
User_159,Lunges,8,4
User_160,Leg Press,15,3
User_160,Lunges,13,3
User_160,Shoulder Press,6,5
User_160,Bench Press,9,4
User_160,Squats,5,5
User_161,Plank,12,5
User_161,Bench Press,12,5
User_161,Leg Press,12,4
User_161,Plank,15,4
User_161,Squats,13,2
User_162,Plank,5,4
User_162,Bicep Curls,6,4
User_162,Shoulder Press,6,5
User_162,Bench Press,9,3
User_162,Leg Press,15,4
User_163,Push-Ups,11,5
User_163,Bench Press,13,4
User_163,Shoulder Press,7,5
User_163,Plank,5,2
User_163,Plank,12,4
User_164,Leg Press,5,5
User_164,Lunges,14,4
User_164,Plank,5,5
User_164,Bicep Curls,9,5
User_164,Lunges,9,3
User_165,Deadlifts,13,2
User_165,Squats,9,2
User_165,Bench Press,11,3
User_165,Lunges,10,4
User_165,Bicep Curls,9,4
User_166,Leg Press,7,4
User_166,Plank,14,3
User_166,Squats,10,5
User_166,Deadlifts,14,5
User_166,Shoulder Press,8,3
User_167,Leg Press,6,3
User_167,Push-Ups,11,3
User_167,Tricep Dips,8,2
User_167,Deadlifts,11,3
User_167,Bicep Curls,15,3
User_168,Push-Ups,6,4
User_168,Shoulder Press,5,2
User_168,Lunges,11,3
User_168,Push-Ups,5,2
User_168,Push-Ups,15,4
User_169,Bicep Curls,15,5
User_169,Lunges,6,4
User_169,Push-Ups,11,5
User_169,Push-Ups,15,2
User_169,Shoulder Press,12,2
User_170,Bicep Curls,5,4
User_170,Tricep Dips,10,3
User_170,Tricep Dips,6,5
User_170,Bench Press,7,3
User_170,Deadlifts,15,2
User_171,Shoulder Press,14,3
User_171,Deadlifts,15,5
User_171,Shoulder Press,8,5
User_171,Deadlifts,5,4
User_171,Bicep Curls,12,2
User_172,Push-Ups,6,5
User_172,Push-Ups,12,5
User_172,Shoulder Press,13,4
User_172,Bicep Curls,10,2
User_172,Shoulder Press,11,4
User_173,Bench Press,13,2
User_173,Push-Ups,8,3
User_173,Bicep Curls,12,3
User_173,Push-Ups,5,2
User_173,Push-Ups,7,2
User_174,Tricep Dips,7,4
User_174,Plank,11,3
User_174,Bench Press,15,2
User_174,Leg Press,6,2
User_174,Bicep Curls,14,3
User_175,Squats,14,3
User_175,Leg Press,5,2
User_175,Leg Press,6,3
User_175,Lunges,10,2
User_175,Plank,11,4
User_176,Shoulder Press,8,5
User_176,Tricep Dips,13,4
User_176,Plank,5,3
User_176,Bench Press,14,2
User_176,Tricep Dips,5,4
User_177,Bench Press,8,4
User_177,Bicep Curls,5,5
User_177,Push-Ups,9,3
User_177,Lunges,6,5
User_177,Shoulder Press,9,3
User_178,Push-Ups,8,3
User_178,Bench Press,12,4
User_178,Tricep Dips,11,4
User_178,Bench Press,11,4
User_178,Bench Press,14,4
User_179,Squats,8,2
User_179,Shoulder Press,15,3
User_179,Lunges,5,3
User_179,Shoulder Press,8,2
User_179,Bicep Curls,5,2
User_180,Push-Ups,7,5
User_180,Bench Press,14,2
User_180,Push-Ups,11,5
User_180,Bicep Curls,6,3
User_180,Plank,5,5
User_181,Bicep Curls,12,5
User_181,Push-Ups,10,2
User_181,Tricep Dips,14,2
User_181,Bench Press,6,4
User_181,Push-Ups,8,5
User_182,Shoulder Press,12,4
User_182,Bench Press,12,5
User_182,Bench Press,14,4
User_182,Plank,7,4
User_182,Squats,6,5
User_183,Bench Press,8,5
User_183,Bicep Curls,13,5
User_183,Bench Press,6,3
User_183,Tricep Dips,10,3
User_183,Bench Press,7,5
User_184,Lunges,15,3
User_184,Squats,9,2
User_184,Push-Ups,6,3
User_184,Plank,7,5
User_184,Squats,10,5
User_185,Shoulder Press,10,2
User_185,Squats,13,3
User_185,Plank,12,4
User_185,Shoulder Press,13,4
User_185,Lunges,6,2
User_186,Squats,7,3
User_186,Bicep Curls,11,4
User_186,Lunges,7,2
User_186,Lunges,5,3
User_186,Plank,12,4
User_187,Squats,9,2
User_187,Bench Press,5,3
User_187,Bench Press,11,4
User_187,Squats,10,3
User_187,Bench Press,9,3
User_188,Bench Press,10,3
User_188,Squats,12,5
User_188,Plank,13,4
User_188,Deadlifts,9,3
User_188,Lunges,5,3
User_189,Leg Press,5,5
User_189,Leg Press,12,3
User_189,Squats,13,2
User_189,Plank,5,3
User_189,Leg Press,8,3
User_190,Plank,15,5
User_190,Leg Press,10,5
User_190,Bench Press,14,5
User_190,Deadlifts,12,2
User_190,Tricep Dips,15,5
User_191,Bicep Curls,12,4
User_191,Plank,10,4
User_191,Plank,10,2
User_191,Plank,13,4
User_191,Push-Ups,13,4
User_192,Push-Ups,14,2
User_192,Bicep Curls,8,2
User_192,Push-Ups,12,2
User_192,Push-Ups,7,4
User_192,Push-Ups,12,3
User_193,Lunges,10,3
User_193,Plank,12,2
User_193,Bench Press,8,2
User_193,Deadlifts,7,2
User_193,Tricep Dips,10,2
User_194,Push-Ups,11,4
User_194,Deadlifts,7,4
User_194,Squats,6,3
User_194,Shoulder Press,5,2
User_194,Push-Ups,11,2
User_195,Deadlifts,6,4
User_195,Shoulder Press,6,5
User_195,Lunges,6,4
User_195,Plank,14,4
